ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
1,2018,000053,Washington State,13-2011,Accountants &  Auditors,30463,37.29,26.58,33.09,42.55,77577.00
2,2018,013380,"Bellingham, WA",13-2011,Accountants &  Auditors,779,31.56,24.75,29.28,35.45,65646.00
3,2018,014740,"Bremerton-Silverdale, WA",13-2011,Accountants &  Auditors,443,34.51,26.53,31.32,41.22,71780.00
4,2018,028420,"Kennewick-Richland, WA",13-2011,Accountants &  Auditors,758,35.31,26.87,34.70,42.63,73453.00
5,2018,030300,"Lewiston, ID-WA",13-2011,Accountants &  Auditors,143,34.71,22.81,28.51,38.80,72208.00
6,2018,031020,"Longview, WA",13-2011,Accountants &  Auditors,198,33.95,24.00,30.67,40.38,70606.00
7,2018,034580,"Mount Vernon-Anacortes, WA",13-2011,Accountants &  Auditors,254,33.82,25.23,29.62,38.36,70351.00
8,2018,036500,"Olympia-Tumwater, WA",13-2011,Accountants &  Auditors,812,36.02,27.53,31.76,39.51,74913.00
9,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",13-2011,Accountants &  Auditors,9505,34.52,25.49,31.35,40.54,71800.00
10,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2011,Accountants &  Auditors,19218,39.44,27.70,34.84,45.15,82026.00
11,2018,44060,"Spokane-Spokane Valley, WA",13-2011,Accountants &  Auditors,1801,32.28,25.23,30.13,37.66,67156.00
12,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",13-2011,Accountants &  Auditors,2282,33.96,23.62,31.24,39.42,70626.00
13,2018,47460,"Walla Walla, WA",13-2011,Accountants &  Auditors,197,37.08,25.94,31.75,49.12,77128.00
14,2018,48300,"Wenatchee, WA",13-2011,Accountants &  Auditors,282,35.19,26.34,32.07,42.63,73198.00
15,2018,49420,"Yakima, WA",13-2011,Accountants &  Auditors,455,34.67,23.37,30.57,39.99,72116.00
16,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),13-2011,Accountants &  Auditors,342,32.22,25.68,30.25,37.48,67024.00
17,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),13-2011,Accountants &  Auditors,371,31.89,24.17,29.44,37.58,66340.00
18,2018,530003,Central WA Nonmetropolitan Area (NMA),13-2011,Accountants &  Auditors,201,26.79,23.29,26.92,29.98,55736.00
19,2018,530004,Eastern WA Nonmetropolitan Area (NMA),13-2011,Accountants &  Auditors,396,31.48,25.37,29.55,35.89,65472.00
20,2018,000053,Washington State,27-2011,Actors,556,,,,,
21,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",27-2011,Actors,45,,,,,
22,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",27-2011,Actors,401,22.21,11.18,19.64,24.09,
23,2018,000053,Washington State,15-2011,Actuaries,331,59.23,38.05,52.11,75.77,123207.00
24,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",15-2011,Actuaries,179,54.77,34.74,47.05,70.38,113925.00
25,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-2011,Actuaries,141,56.74,41.28,51.22,71.58,118028.00
26,2018,000053,Washington State,51-9191,Adhesive Bonding Machine Operators & Tenders,591,22.92,16.08,20.20,31.53,47667.00
27,2018,013380,"Bellingham, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,41,,,,,
28,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",51-9191,Adhesive Bonding Machine Operators & Tenders,96,16.58,13.42,15.71,19.42,34483.00
29,2018,44060,"Spokane-Spokane Valley, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,90,17.70,12.60,19.35,22.09,36797.00
30,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",51-9191,Adhesive Bonding Machine Operators & Tenders,22,20.77,17.09,18.87,21.76,43204.00
31,2018,49420,"Yakima, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,,14.69,12.09,13.29,15.62,30553.00
32,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),51-9191,Adhesive Bonding Machine Operators & Tenders,23,17.56,14.53,16.68,20.75,36520.00
33,2018,000053,Washington State,23-1021,"Administrative Law Judges, Adjudicators, & Hearing Officers",327,53.10,43.14,47.62,58.81,110432.00
34,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",23-1021,"Administrative Law Judges, Adjudicators, & Hearing Officers",172,45.29,28.94,45.88,58.55,94205.00
35,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",23-1021,"Administrative Law Judges, Adjudicators, & Hearing Officers",116,56.88,46.46,51.27,64.15,118302.00
36,2018,44060,"Spokane-Spokane Valley, WA",23-1021,"Administrative Law Judges, Adjudicators, & Hearing Officers",21,62.22,47.07,61.07,79.49,129411.00
37,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",23-1021,"Administrative Law Judges, Adjudicators, & Hearing Officers",33,58.87,43.81,50.00,84.02,122445.00
38,2018,000053,Washington State,11-3011,Administrative Services Managers,5058,56.04,39.78,50.94,64.52,116564.00
39,2018,013380,"Bellingham, WA",11-3011,Administrative Services Managers,105,49.84,35.38,45.59,56.41,103653.00
40,2018,014740,"Bremerton-Silverdale, WA",11-3011,Administrative Services Managers,69,45.02,31.76,45.58,51.42,93651.00
41,2018,028420,"Kennewick-Richland, WA",11-3011,Administrative Services Managers,175,60.22,46.35,58.03,73.10,125260.00
42,2018,030300,"Lewiston, ID-WA",11-3011,Administrative Services Managers,42,35.52,26.81,33.34,46.83,73872.00
43,2018,031020,"Longview, WA",11-3011,Administrative Services Managers,41,55.83,46.21,55.14,66.74,116125.00
44,2018,034580,"Mount Vernon-Anacortes, WA",11-3011,Administrative Services Managers,40,39.18,32.53,38.29,49.11,81496.00
45,2018,036500,"Olympia-Tumwater, WA",11-3011,Administrative Services Managers,214,50.54,41.17,50.86,58.94,105133.00
46,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",11-3011,Administrative Services Managers,2367,44.65,32.10,41.97,54.31,92876.00
47,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,3077,61.52,43.50,54.74,71.84,127964.00
48,2018,44060,"Spokane-Spokane Valley, WA",11-3011,Administrative Services Managers,331,44.54,34.48,44.28,53.11,92641.00
49,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",11-3011,Administrative Services Managers,351,47.68,35.13,45.53,57.84,99183.00
50,2018,47460,"Walla Walla, WA",11-3011,Administrative Services Managers,31,41.88,28.21,37.68,49.73,87099.00
51,2018,48300,"Wenatchee, WA",11-3011,Administrative Services Managers,53,51.79,36.62,52.13,64.90,107705.00
52,2018,49420,"Yakima, WA",11-3011,Administrative Services Managers,55,39.94,32.72,38.50,49.13,83068.00
53,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,63,32.98,24.11,31.47,40.17,68585.00
54,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,50,46.19,27.34,37.97,55.41,96080.00
55,2018,530003,Central WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,40,33.54,17.96,26.06,42.98,69749.00
56,2018,530004,Eastern WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,106,45.25,33.86,42.46,58.74,94141.00
57,2018,000053,Washington State,25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",2329,24.81,20.96,24.45,29.17,51606.00
58,2018,013380,"Bellingham, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",86,25.47,21.65,24.08,29.08,52967.00
59,2018,028420,"Kennewick-Richland, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",52,24.60,21.33,23.47,27.31,51190.00
60,2018,036500,"Olympia-Tumwater, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",44,23.92,21.50,23.55,26.37,49768.00
61,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",510,24.53,16.02,22.77,29.77,51027.00
62,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",1241,24.80,20.93,25.20,29.51,51565.00
63,2018,44060,"Spokane-Spokane Valley, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",,25.55,21.16,25.44,29.80,53139.00
64,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",207,25.29,21.36,23.97,29.25,52581.00
65,2018,48300,"Wenatchee, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",,27.83,26.08,27.98,29.88,57892.00
66,2018,49420,"Yakima, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",104,23.17,19.12,22.42,27.52,48194.00
67,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",37,26.01,21.73,23.80,30.70,54094.00
68,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",60,25.78,21.63,25.65,29.75,53637.00
69,2018,000053,Washington State,11-2011,Advertising & Promotions Managers,576,67.26,50.00,65.00,79.64,139905.00
70,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",11-2011,Advertising & Promotions Managers,374,48.82,29.44,45.45,54.76,101541.00
71,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising & Promotions Managers,462,69.21,53.80,65.96,79.94,143947.00
72,2018,44060,"Spokane-Spokane Valley, WA",11-2011,Advertising & Promotions Managers,24,,,,,
73,2018,000053,Washington State,41-3011,Advertising Sales Agents,2854,27.21,17.56,22.64,30.85,56600.00
74,2018,013380,"Bellingham, WA",41-3011,Advertising Sales Agents,67,29.07,18.57,27.57,40.57,60474.00
75,2018,014740,"Bremerton-Silverdale, WA",41-3011,Advertising Sales Agents,,32.38,19.55,25.19,36.55,67344.00
76,2018,028420,"Kennewick-Richland, WA",41-3011,Advertising Sales Agents,97,27.97,12.71,16.82,31.15,58191.00
77,2018,030300,"Lewiston, ID-WA",41-3011,Advertising Sales Agents,50,16.24,11.75,14.45,17.89,33780.00
78,2018,034580,"Mount Vernon-Anacortes, WA",41-3011,Advertising Sales Agents,31,31.03,15.76,18.98,28.51,64534.00
79,2018,036500,"Olympia-Tumwater, WA",41-3011,Advertising Sales Agents,55,21.38,12.51,21.04,26.18,44472.00
80,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",41-3011,Advertising Sales Agents,765,26.49,14.03,22.18,36.51,55092.00
81,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-3011,Advertising Sales Agents,1890,27.97,18.42,22.97,30.97,58181.00
82,2018,44060,"Spokane-Spokane Valley, WA",41-3011,Advertising Sales Agents,222,26.29,19.31,25.35,31.60,54679.00
83,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",41-3011,Advertising Sales Agents,81,27.84,18.71,26.24,33.47,57912.00
84,2018,48300,"Wenatchee, WA",41-3011,Advertising Sales Agents,47,23.33,16.93,19.47,27.43,48522.00
85,2018,49420,"Yakima, WA",41-3011,Advertising Sales Agents,57,29.68,19.29,25.38,42.01,61745.00
86,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,17,26.44,20.43,24.00,33.97,54989.00
87,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,53,18.23,14.02,15.85,20.42,37933.00
88,2018,530003,Central WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,25,15.90,12.82,15.02,17.25,33078.00
89,2018,530004,Eastern WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,19,18.96,12.15,20.91,23.10,39431.00
90,2018,000053,Washington State,17-3021,Aerospace Engineering & Operations Technicians,372,45.39,30.15,43.16,51.79,94418.00
91,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",17-3021,Aerospace Engineering & Operations Technicians,21,33.98,25.99,31.08,44.06,70677.00
92,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",17-3021,Aerospace Engineering & Operations Technicians,368,45.52,30.22,43.28,52.06,94682.00
93,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",17-2011,Aerospace Engineers,46,54.02,42.38,52.63,67.82,112362.00
94,2018,44060,"Spokane-Spokane Valley, WA",17-2011,Aerospace Engineers,11,63.24,51.08,65.43,79.27,131534.00
95,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",17-2011,Aerospace Engineers,37,62.32,52.80,62.59,73.75,129635.00
96,2018,000053,Washington State,13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",77,36.07,18.55,28.22,39.28,75025.00
97,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",71,24.00,14.29,20.73,34.79,49918.00
